name,league,primary,secondary,tertiary,quaternary,division
Fairleigh Dickinson Knights,ncaa,#A32638,#003F87,NA,NA,NEC
FGCU,ncaa,#002D72,#007749,#B9975B,NA,A-Sun
FIU,ncaa,#081E3F,#B6862C,NA,NA,C-USA
Florida Atlantic Owls,ncaa,#003366,#CC0000,#8A8D8F,#CCCCCC,C-USA
Florida Gators,ncaa,#0021A5,#FA4616,NA,NA,SEC
Florida A&M,ncaa,#F4811F,#008344,NA,NA,SWAC
Florida State Seminoles,ncaa,#782F40,#CEB888,#FFFFFF,#000000,ACC
Fordham Rams,ncaa,#860038,#FFFFFF,NA,NA,A-10
Fresno State,ncaa,#DB0032,#002E6D,#007934,NA,MWC
Furman Paladins[t],ncaa,#582C83,#FFFFFF,NA,NA,Southern
Georgia Southern Eagles[u],ncaa,#011E41,#A3AAAE,#87714D,NA,Sunbelt
Gardner-Webb,ncaa,#A6192E,#000000,NA,NA,Big South
George Mason Patriots,ncaa,#006633,#FFCC33,#000000,NA,A-10
George Washington,ncaa,#E2CB92,#002654,NA,NA,A-10
Georgetown Hoyas,ncaa,#041E42,#8D817B,NA,NA,Big East
Georgia Bulldogs[h],ncaa,#BA0C2F,#000000,#FFFFFF,NA,SEC
Georgia State Panthers,ncaa,#0039A6,#C60C30,#000000,NA,Sunbelt
Georgia Tech,ncaa,#B3A369,#003057,#A28D5B,NA,ACC
Gonzaga Bulldogs[k],ncaa,#041E42,#C8102E,#C1C6C8,NA,WCC
Grambling,ncaa,#000000,#ECAA00,NA,NA,SWAC
Grand Canyon Antelopes,ncaa,#522398,#000000,NA,NA,WAC
Green Bay,ncaa,#006747,#9D2235,#8A8D8F,NA,Horizon
Hampton Pirates[q],ncaa,#265198,#FFFFFF,NA,NA,CAA
Hartford Hawks,ncaa,#C02427,#0F0708,NA,NA,Independent
Harvard Crimson,ncaa,#A41034,#000000,#808285,#B6B6B6,Ivy
Hawaii,ncaa,#024731,#C8C8C8,#000000,NA,Big West
High Point Panthers,ncaa,#330072,#FFFFFF,NA,NA,Big South
Hofstra Pride,ncaa,#FDC82F,#003591,NA,NA,CAA
Holy Cross,ncaa,#602D89,#FFFFFF,NA,NA,Patriot
Houston Cougars,ncaa,#C8102E,#76232F,#B2B4B2,NA,AAC
Houston Christian Huskies,ncaa,#00529C,#F85512,NA,NA,Southland
Howard Bison[x],ncaa,#003A63,#FFFFFF,NA,NA,MEAC
Idaho Vandals,ncaa,#EAAB00,#86754D,#808080,#000000,Big Sky
Idaho State Bengals,ncaa,#000000,#F9A81A,NA,NA,Big Sky
Illinois,ncaa,#13294B,#E84A27,NA,NA,Big 10
Illinois State Redbirds,ncaa,#CE1126,#F9DD16,#000000,NA,MVC
Indiana,ncaa,#990000,#EEEDEB,NA,NA,Big 10
Indiana State Sycamores,ncaa,#0142BC,#FFFFFF,NA,NA,MVC
Iona Gaels,ncaa,#6F2C3F,#F2A900,NA,NA,MAAC
Iowa,ncaa,#FFCD00,#000000,NA,NA,Big 10
Iowa State,ncaa,#C8102E,#F1BE48,NA,NA,Big 12
IUPUI,ncaa,#9D2235,#DFD1A7,#000000,NA,Horizon
Jackson State Tigers[v],ncaa,#002147,#FFFFFF,NA,NA,SWAC
Jacksonville Dolphins,ncaa,#084E44,#FFFFFF,NA,NA,A-Sun
Jacksonville State Gamecocks,ncaa,#004E44,#898A8D,#BBBBBB,#000000,A-Sun
James Madison Dukes,ncaa,#450084,#CBB677,NA,NA,Sunbelt
Kansas Jayhawks,ncaa,#0051BA,#E8000D,#FFC82D,#85898A,Big 12
Kansas City,ncaa,#005293,#FECB00,#000000,#DCDDDE,Summit
Kansas State Wildcats,ncaa,#512888,#D1D1D1,#A7A7A7,#FFFFFF,Big 12
Kennesaw State Owls,ncaa,#FDBB30,#0B1315,#C5C6C8,NA,A-Sun
Kent State Golden Flashes,ncaa,#002664,#EAAB00,NA,NA,MAC
Kentucky Wildcats,ncaa,#0033A0,#FFFFFF,#000000,NA,SEC
La Salle Explorers,ncaa,#FFCC00,#003366,NA,NA,A-10
Lafayette,ncaa,#910029,#A8996E,NA,NA,Patriot
Lamar University,ncaa,#E31937,#000000,NA,NA,Southland
Lehigh Mountain Hawks,ncaa,#4B2913,#FFFFFF,NA,NA,Patriot
Liberty Flames[ac],ncaa,#990000,#0A254E,NA,NA,A-Sun
Lipscomb Bisons[ad],ncaa,#331E54,#F4AA00,#000000,NA,A-Sun
Little Rock,ncaa,#6E2639,#A7A9AC,NA,NA,OVC
LIU,ncaa,#231F20,#8A8D8F,NA,NA,NEC
LMU (CA),ncaa,#B62B3A,#00447C,#617080,#231F20,WCC
Long Beach State,ncaa,#FFC72A,#000000,NA,NA,Big West
Longwood Lancers,ncaa,#041E42,#FFFFFF,NA,NA,Big South
Louisiana,ncaa,#CE181E,#0A0203,#C1C5C9,#F18C21,Sunbelt
Louisiana Tech Bulldogs[ae],ncaa,#E31B23,#A2AAAD,#111111,NA,C-USA
Louisville Cardinals,ncaa,#AD0000,#000000,#FDB913,#CCCCCC,ACC
Loyola Chicago Ramblers,ncaa,#922247,#FEBD18,NA,NA,A-10
