name,league,primary,secondary,tertiary,quaternary
North Carolina Courage,nwsl,#01426A,#B3A369,#A50034,#C8C9C7
Utah Royals FC,nwsl,#FFB81C,#001E62,#9D2235,NA
Houston Dash,nwsl,#F4911E,#92C3F1,#231F20,NA
Orlando Pride,nwsl,#623393,#01A8DF,#FFFFFF,NA
Chicago Red Stars,nwsl,#CF0A2C,#41B6E6,#FFFFFF,NA
Sky Blue FC,nwsl,#A1DBE4,#FCB47C,#193368,#FFFFFF
OL Reign,nwsl,#003893,#DC2828,#BE8C32,NA
Portland Thorns FC,nwsl,#981D1F,#000000,#074129,NA
Washington Spirit,nwsl,#0A1E2C,#C2002F,#BCBBB9,NA
